company,company_tier,total_questions,easy_pct,medium_pct,hard_pct,avg_acceptance,median_acceptance,avg_frequency,median_frequency,avg_likes,avg_dislikes,top_category
kla,Tier_C,8,12.5,37.5,50.0,48.9375,51.85,56.25,62.5,15224.0,626.4285714285714,Algorithms
kla-tencor,Tier_C,4,0.0,25.0,75.0,55.800000000000004,54.45,59.375,62.5,3727.75,206.75,Algorithms
kotak-mahindra-bank,Tier_C,2,50.0,0.0,50.0,49.400000000000006,49.400000000000006,81.25,81.25,11622.5,4898.0,Algorithms
kpmg,Tier_C,3,33.333333333333336,66.66666666666667,0.0,50.06666666666666,47.3,66.66666666666667,62.5,27614.666666666668,1100.6666666666667,Algorithms
larsen-toubro,Tier_C,2,100.0,0.0,0.0,69.9,69.9,56.25,56.25,376.5,24.0,Algorithms
leap-motion,Tier_C,1,0.0,100.0,0.0,42.9,42.9,100.0,100.0,470.0,776.0,Algorithms
lendingkart,Tier_C,1,0.0,100.0,0.0,67.5,67.5,100.0,100.0,1895.0,63.0,Algorithms
lenskart,Tier_C,1,0.0,100.0,0.0,56.8,56.8,37.5,37.5,15993.0,1430.0,Algorithms
lg-electronics,Tier_C,6,50.0,50.0,0.0,55.43333333333333,58.4,52.083333333333336,56.25,10730.833333333334,3411.8333333333335,Algorithms
liberty-mutual,Tier_C,1,0.0,0.0,100.0,50.7,50.7,25.0,25.0,606.0,227.0,Algorithms
liftoff,Tier_C,4,0.0,75.0,25.0,63.325,62.75,40.625,31.25,3021.0,535.5,Algorithms
lime,Tier_C,7,14.285714285714286,71.42857142857143,14.285714285714286,63.9,59.3,53.57142857142857,50.0,6784.142857142857,963.2857142857143,Algorithms
line,Tier_C,3,0.0,33.333333333333336,66.66666666666667,53.06666666666666,48.8,58.333333333333336,62.5,15138.333333333334,670.0,Algorithms
linkedin,Tier_A,178,15.730337078651685,64.6067415730337,19.662921348314608,56.53314606741573,57.2,41.853932584269664,37.5,8974.857954545454,880.1704545454545,Algorithms
liveramp,Tier_C,6,33.333333333333336,66.66666666666667,0.0,51.88333333333333,50.65,39.583333333333336,31.25,5760.166666666667,756.5,Algorithms
livspace,Tier_C,2,50.0,50.0,0.0,57.15,57.15,18.75,18.75,7655.0,799.0,Algorithms
lowe,Tier_C,5,60.0,0.0,40.0,53.52,57.5,65.0,100.0,12602.4,561.4,Algorithms
lti,Tier_C,8,37.5,50.0,12.5,48.199999999999996,45.35,45.3125,43.75,7105.875,3045.625,Algorithms
lucid,Tier_C,6,33.333333333333336,50.0,16.666666666666668,58.51666666666667,61.300000000000004,60.416666666666664,62.5,13858.166666666666,670.3333333333334,Algorithms
luxoft,Tier_C,2,100.0,0.0,0.0,70.6,70.6,56.25,56.25,18409.0,1670.0,Algorithms
